2025-11-05 18:29:15,529   |  Model evaluation  |  DEBUG  |  Loaded test file
2025-11-05 18:29:15,768   |  Model evaluation  |  DEBUG  |  Model performance metrices has been exrcated for : LogisticRegression.pkl
2025-11-05 18:29:16,004   |  Model evaluation  |  DEBUG  |  Model performance metrices has been exrcated for : XGBClassifier.pkl
2025-11-05 18:29:21,515   |  Model evaluation  |  DEBUG  |  Model performance metrices has been exrcated for : SVC.pkl
2025-11-05 18:29:22,079   |  Model evaluation  |  DEBUG  |  Model performance metrices has been exrcated for : RandomForestClassifier.pkl
2025-11-05 18:29:24,091   |  Model evaluation  |  DEBUG  |  Model performance metrices has been exrcated for : KNeighborsClassifier.pkl
2025-11-05 18:29:24,095   |  Model evaluation  |  DEBUG  |  Please find the Model performance data frame at: /home/santosh/Desktop/MLOps/Class_3_ML_Pipeline/Data
2025-11-05 18:50:28,094   |  Model evaluation  |  DEBUG  |  Loaded test file
2025-11-05 18:50:28,228   |  Model evaluation  |  DEBUG  |  Model performance metrices has been extracted for : LogisticRegression.pkl
2025-11-05 18:50:28,381   |  Model evaluation  |  DEBUG  |  Model performance metrices has been extracted for : XGBClassifier.pkl
2025-11-05 18:50:29,146   |  Model evaluation  |  DEBUG  |  Model performance metrices has been extracted for : RandomForestClassifier.pkl
2025-11-05 18:50:32,070   |  Model evaluation  |  DEBUG  |  Model performance metrices has been extracted for : KNeighborsClassifier.pkl
2025-11-05 18:50:32,076   |  Model evaluation  |  DEBUG  |  Please find the Model performance data frame at: /home/santosh/Desktop/MLOps/Class_3_ML_Pipeline/Data
2025-11-05 19:05:00,025   |  Model evaluation  |  DEBUG  |  Loaded test file
2025-11-05 19:05:00,257   |  Model evaluation  |  DEBUG  |  Model performance metrices has been extracted for : LogisticRegression.pkl
2025-11-05 19:05:00,523   |  Model evaluation  |  DEBUG  |  Model performance metrices has been extracted for : XGBClassifier.pkl
2025-11-05 19:05:01,499   |  Model evaluation  |  DEBUG  |  Model performance metrices has been extracted for : RandomForestClassifier.pkl
2025-11-05 19:05:06,449   |  Model evaluation  |  DEBUG  |  Model performance metrices has been extracted for : KNeighborsClassifier.pkl
2025-11-05 19:05:06,453   |  Model evaluation  |  DEBUG  |  Please find the Model performance data frame at: /home/santosh/Desktop/MLOps/Class_3_ML_Pipeline/Data
2025-11-05 23:51:27,326   |  Model evaluation  |  DEBUG  |  Loaded test file
2025-11-05 23:51:27,418   |  Model evaluation  |  DEBUG  |  Model performance metrices has been extracted for : LogisticRegression.pkl
2025-11-05 23:51:27,570   |  Model evaluation  |  DEBUG  |  Model performance metrices has been extracted for : XGBClassifier.pkl
2025-11-05 23:51:28,348   |  Model evaluation  |  DEBUG  |  Model performance metrices has been extracted for : RandomForestClassifier.pkl
2025-11-05 23:51:31,560   |  Model evaluation  |  DEBUG  |  Model performance metrices has been extracted for : KNeighborsClassifier.pkl
2025-11-05 23:51:31,565   |  Model evaluation  |  DEBUG  |  Please find the Model performance data frame at: /home/santosh/Desktop/MLOps/Class_3_ML_Pipeline/Data
